id,temperature,altitude,pressure,uv_index
1,10.4,910.0,25.0,11.0
2,10.4,910.0,25.0,11.0
3,10.4,910.0,25.0,13.0
4,10.4,910.0,25.0,13.0
5,10.4,910.0,25.0,13.0
6,10.5,9150.0,255.0,15.0
7,29.96,0,0,0
8,29.96,0,0,0
9,29.96,0,0,0
10,29.94,0,0,0
11,29.96,0,0,0
12,29.96,0,0,0
13,29.96,0,0,0
14,29.96,0,0,0
15,29.96,0,0,0
16,29.98,0,0,0
17,29.538,760.348,922.228,0
18,29.553997,760.294,922.234,0
19,29.570002,760.276,922.236,0
20,29.570002,760.492,922.21204,0
21,29.566,760.09607,922.25604,0
22,29.570002,760.276,922.236,0
23,29.572,760.204,922.24396,0
24,29.566,760.3121,922.23206,0
25,29.574,761.01404,922.154,0
26,29.592001,760.58203,922.20197,0
27,29.607998,760.52795,922.208,0
28,29.62,760.13196,922.25195,0
29,29.62,760.34796,922.228,0
30,29.623999,760.52795,922.208,0
31,29.635998,760.528,922.208,0
32,29.64,760.456,922.216,0
33,29.64,760.456,922.216,0
34,29.646,760.2399,922.24005,0
35,29.648,760.6,922.2,0
36,29.666,760.042,922.262,0
37,29.674,760.384,922.224,0
38,29.692001,760.474,922.214,0
39,29.692001,761.12195,922.14197,0
40,29.698002,760.474,922.21405,0
41,29.7,759.952,922.272,0
42,29.716,760.33,922.23,0
43,29.794,760.87,922.17004,0
44,29.801998,760.942,922.162,0
45,29.810001,760.6,922.2,0
46,29.812,760.51,922.20996,0
47,29.817999,760.744,922.18396,0
48,29.831997,760.492,922.21204,0
49,29.855999,760.726,922.1859,0
50,29.911999,760.474,922.214,0
51,29.924,760.32996,922.23,0
52,29.936,760.54596,922.20593,0
53,29.939999,760.69,922.19006,0
54,29.948002,760.582,922.20197,0
55,29.959997,760.1859,922.246,0
56,29.959997,760.852,922.172,0
57,29.963999,760.56396,922.2039,0
58,29.963999,760.096,922.256,0
59,29.948002,760.582,922.20197,0
60,29.939999,760.69,922.19006,0
61,29.940002,760.492,922.2119,0
62,29.936,760.11395,922.254,0
63,29.939999,760.492,922.21204,0
64,29.936,760.32996,922.23,0
65,29.944,760.186,922.246,0
66,29.956,760.474,922.214,0
67,29.971996,759.97003,922.27,0
68,29.967999,760.258,922.2381,0
69,29.98,760.492,922.21204,0
70,29.984,760.132,922.2521,0
71,29.98,760.708,922.1881,0
72,29.98,760.492,922.21204,0
73,29.976002,760.13196,922.25195,0
74,29.98,760.276,922.23596,0
75,29.98,760.49207,922.21204,0
76,29.982,760.204,922.24396,0
77,29.988,760.42004,922.22003,0
78,30.001999,760.38403,922.224,0
79,30.01,760.276,922.236,0
80,30.026001,760.438,922.21796,0
81,30.030003,760.15,922.25,0
82,30.034,760.438,922.21796,0
83,30.040003,760.438,922.21796,0
84,30.044,759.93396,922.2739,0
85,30.060001,759.8981,922.278,0
86,30.060001,760.132,922.2521,0
87,30.064,760.276,922.23596,0
88,30.079998,760.672,922.192,0
89,30.088001,760.312,922.23206,0
90,30.102001,760.24005,922.24005,0
91,30.108002,760.02405,922.26404,0
92,30.088001,759.62805,922.308,0
93,30.059998,760.79803,922.17804,0
94,30.034,760.438,922.21796,0
95,30.030003,760.366,922.22595,0
96,30.034002,760.22205,922.242,0
97,30.040003,760.222,922.242,0
98,30.060001,760.366,922.22595,0
99,30.056,759.97003,922.27,0
100,30.067999,760.654,922.19403,0
101,30.113335,760.195,922.24493,0
102,30.125998,760.83405,922.174,0
103,30.121998,759.97003,922.27,0
104,30.108002,760.24005,922.24005,0
105,30.095999,760.384,922.224,0
106,30.102001,760.45605,922.216,0
107,30.15,759.952,922.272,0
108,10.5,9150.0,255.0,15.0
109,10.5,9150.0,255.0,15.0
110,10.5,9150.0,255.0,15.0
111,10.5,9150.0,255.0,15.0
112,10.5,9150.0,255.0,15.0
113,10.5,9150.0,255.0,15.0
114,10.5,9150.0,255.0,15.0
